Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
53,2020-02-08,DEN,1,36:46,5,16,.313,3,8,.375,8,1.000,9,3,21,16.8,+1
54,2020-02-10,LAL,1,31:31,2,11,.182,0,4,.000,7,.857,5,3,10,3.2,-9
55,2020-02-12,GSW,1,37:15,8,22,.364,2,8,.250,9,1.000,8,0,27,19.6,+17
56,2020-02-21,TOR,1,34:08,8,18,.444,1,5,.200,4,1.000,8,0,21,18.7,-24
57,2020-02-22,CHI,1,38:27,9,21,.429,5,10,.500,6,1.000,5,2,29,18.1,+24
58,2020-02-24,UTA,1,34:19,8,18,.444,2,4,.500,7,.857,10,5,24,16.4,+13
59,2020-02-26,LAC,1,39:14,5,19,.263,1,8,.125,3,1.000,10,4,14,4.1,+2
60,2020-02-28,DET,1,39:51,10,17,.588,1,4,.250,7,.714,6,2,26,18.5,-3
61,2020-02-29,GSW,1,38:19,6,16,.375,4,7,.571,5,1.000,1,3,21,6.4,-22
62,2020-03-03,TOR,1,37:25,5,14,.357,2,8,.250,12,.833,10,5,22,17.6,-16
63,2020-03-06,POR,1,38:43,8,20,.400,3,9,.333,4,1.000,12,4,23,18.5,-3
64,2020-03-08,MIL,1,39:14,13,17,.765,4,6,.667,7,.857,8,4,36,31.2,+8
65,2020-03-10,POR,1,35:49,9,25,.360,2,7,.286,10,.900,9,3,29,17.6,-7
66,2020-07-31,WAS,1,35:54,8,21,.381,2,7,.286,9,1.000,4,4,27,14.2,+24
67,2020-08-02,DAL,1,31:08,10,20,.500,1,4,.250,10,.900,4,6,30,18.9,-8
68,2020-08-04,LAC,1,37:08,13,25,.520,6,9,.667,5,.600,8,3,35,25.5,0
69,2020-08-06,IND,1,29:18,6,12,.500,1,5,.200,7,1.000,10,5,20,16.9,+12
